Time,header.seq,header.frame_id,current,next
0.0,1,init,init,init
140.822110414505,2,init,init,start
174.1949565410614,3,start,start,intro
207.01921343803406,4,intro,intro,indiv-illustrate
314.5602102279663,5,indiv-illustrate,indiv-illustrate,pretest-1
382.24810218811035,6,pretest-1,pretest-1,pretest-2
428.2761046886444,7,pretest-2,pretest-2,pretest-3
477.40599155426025,8,pretest-3,pretest-3,pretest-4
573.3609669208527,9,pretest-4,pretest-4,pretest-5
615.6163897514343,10,pretest-5,pretest-5,collab-activity
960.287999868393,11,collab-activity,collab-activity,collab-activity
1373.0658226013184,12,collab-activity,collab-activity,collab-activity
1724.299506187439,13,collab-activity,collab-activity,collab-activity
1865.8710160255432,14,collab-activity-2,collab-activity-2,collab-activity-2
2260.9197902679443,15,collab-activity-2,collab-activity-2,collab-activity-2
3043.732197999954,16,posttest-1,posttest-1,posttest-1
3085.0623722076416,17,posttest-1,posttest-1,posttest-2
3142.6959722042084,18,posttest-2,posttest-2,posttest-3
3172.4621539115906,19,posttest-3,posttest-3,posttest-4
3231.630847454071,20,posttest-4,posttest-4,posttest-5
3263.6142988204956,21,posttest-5,posttest-5,debriefing
